código,clave,descripción,margen de mercado,caja,master,precio,unidad,ean,precio mínimo de venta,alta rotación,precio mayoreo con IVA,precio distribuidor con IVA,precio público con IVA,precio mayoreo sin IVA,precio distribuidor sin IVA,precio público sin IVA,Marca,Precio Medio Mayoreo sin IVA,Precio Medio Mayoreo con IVA,Codigo SAT,Descripcion SAT,Familia,Descripción Familia,Peso[Kg],Volumen[cm3]
48894,CC-803,"Yee sencilla de cobre 1', FOSET",MM00,2,100,154,Pieza,7.50624E+12,98,0,128,98,154,110.34,84.48,132.76,Foset,118.97,138,40172600,Acoples de tubos,P597,Conexiones soldables de cobre,0.173,238.285
48897,CC-616,"Conector de cobre, rosca exterior 2', FOSET",MM00,2,40,339,Pieza,7.50624E+12,215,0,279,215,339,240.52,185.34,292.24,Foset,266.38,309,31163100,Conectores,P668,Conexiones roscables de cobre y bronce,0.365,435.375
48900,CC-606,"Conector de cobre, rosca interior 2', FOSET",MM00,2,40,355,Pieza,7.50624E+12,225,0,295,225,355,254.31,193.97,306.03,Foset,275,319,31163100,Conectores,P668,Conexiones roscables de cobre y bronce,0.374,445.17
48903,CC-976,"Tuerca unión de latón cobrizado 2', FOSET",MM00,2,40,1015,Pieza,7.50624E+12,645,0,835,645,1015,719.83,556.03,875,Foset,797.41,925,31161700,Tuercas,P597,Conexiones soldables de cobre,1.1,744
48969,FMO-55X,"Manguera para monomando, acero inox, 1/2'x M10, 55 cm",MM00,6,36,99,Pieza,7.50624E+12,63,0,82,63,99,70.69,54.31,85.34,Foset,77.59,90,40142000,Mangueras,P813,"Mangueras flexibles para lavabo y fregadero, FOSET",0.115,784.064
48970,SC-01,"Sistema corredizo para riel superior de clóset, HERMEX",MM00,10,50,135,Pieza,7.50624E+12,85,0,110,85,135,94.83,73.28,116.38,Hermex,103.45,120,31162800,Ferretería en general,P801,Accesorios para closet,0.25,897.093
48971,SC-02,"Sistema corredizo doble para riel superior de clóset, HERMEX",MM00,10,50,215,Pieza,7.50624E+12,135,0,175,135,215,150.86,116.38,185.34,Hermex,168.1,195,31162800,Ferretería en general,P801,Accesorios para closet,0.365,919.054
48972,RJJ-20,Riel superior 'JJ' de aluminio para puerta corrediza 2 m,MM00,10,0,339,Pieza,7.50624E+12,215,0,279,215,339,240.52,185.34,292.24,Hermex,266.38,309,31162800,Ferretería en general,P801,Accesorios para closet,0.73,2112.6
48973,RJJ-30,Riel superior  'JJ' de aluminio para puerta corrediza 3 m,MM00,10,0,495,Pieza,7.50624E+12,315,0,415,315,495,357.76,271.55,426.72,Hermex,383.62,445,31162800,Ferretería en general,P801,Accesorios para closet,1.24,3060
48974,TR-530,"Tubo redondo para clóset, 3.0 m, acero cromado, HERMEX",MM00,10,0,179,Pieza,7.50624E+12,115,0,149,115,179,128.45,99.14,154.31,Hermex,142.24,165,24141700,Tubos y núcleos de embalaje y etiquetas y accesorios,P801,Accesorios para closet,1.04,2310
48975,BTR-3,"Brida cromada para tubo redondo de clóset, HERMEX",MM00,10,100,25,Pieza,7.50624E+12,16,0,21,16,25,18.1,13.79,21.55,Hermex,19.83,23,23101500,"Maquinaria para trabajar madera, piedra, cerámica y similares",P801,Accesorios para closet,0.025,69.615
48976,STR-3,"Soporte central para tubo redondo de clóset, HERMEX",MM00,10,100,77,Pieza,7.50624E+12,49,0,64,49,77,55.17,42.24,66.38,Hermex,59.48,69,24141700,Tubos y núcleos de embalaje y etiquetas y accesorios,P801,Accesorios para closet,0.045,140.132
48977,TO-530,"Tubo ovalado para clóset, 3.0 m, acero cromado, HERMEX",MM00,10,0,179,Pieza,7.50624E+12,115,0,149,115,179,128.45,99.14,154.31,Hermex,142.24,165,24141700,Tubos y núcleos de embalaje y etiquetas y accesorios,P801,Accesorios para closet,1.08,2004.072
48978,BTO-5,"Brida niquelada para tubo ovalado de clóset, HERMEX",MM00,10,100,30,Pieza,7.50624E+12,19,0,25,19,30,21.55,16.38,25.86,Hermex,23.28,27,23101500,"Maquinaria para trabajar madera, piedra, cerámica y similares",P801,Accesorios para closet,0.016,66.42
48979,STO-5,"Soporte central para tubo ovalado de clóset, HERMEX",MM00,10,100,42,Pieza,7.50624E+12,27,0,35,27,42,30.17,23.28,36.21,Hermex,33.62,39,24141700,Tubos y núcleos de embalaje y etiquetas y accesorios,P801,Accesorios para closet,0.03,70.656
48980,CIN-5060,"Bolsa con 25 cinchos plásticos 50 lb, 600x4.5 mm, naturales",MM00,10,60,92,Set,7.50624E+12,58,0,75,58,92,64.66,50,79.31,Volteck,71.55,83,31162800,Ferretería en general,P036,Cinchos de plástico y de contacto,0.12,647.911
48981,CIN-12020,"Bolsa c/10 cinchos plásticos 120 lb, 200 x 7.5 mm, naturales",MM00,10,60,24,Set,7.50624E+12,15,0,20,15,24,17.24,12.93,20.69,Volteck,18.97,22,31162800,Ferretería en general,P036,Cinchos de plástico y de contacto,0.031,175.114
48982,CIN-12030,"Bolsa c/10 cinchos plásticos 120 lb, 300 x 7.5 mm, naturales",MM00,10,60,30,Set,7.50624E+12,19,0,25,19,30,21.55,16.38,25.86,Volteck,23.28,27,31162800,Ferretería en general,P036,Cinchos de plástico y de contacto,0.04,229.2
48983,CIN-12055,"Bolsa c/10 cinchos plásticos 120 lb, 550 x 7.5 mm, naturales",MM00,10,60,55,Set,7.50624E+12,35,0,45,35,55,38.79,30.17,47.41,Volteck,43.1,50,31162800,Ferretería en general,P036,Cinchos de plástico y de contacto,0.076,413.987
48984,CIN-12075,"Bolsa c/10 cinchos plásticos 120 lb, 750 x 7.5 mm, naturales",MM00,10,60,77,Set,7.50624E+12,49,0,64,49,77,55.17,42.24,66.38,Volteck,59.48,69,31162800,Ferretería en general,P036,Cinchos de plástico y de contacto,0.109,565.875
